x	|sinh(x/2)	|(cosh(x/2))/2	|(sinh(x/2))'	|(sinh(x/2))/4	|(sinh(x/2))''
__________________________________________________________________________________
-10.00 	| -74.20 	| 37.10 	| 36.19 	| -18.55     	| -17.65
-9.90 	| -70.58 	| 35.30 	| 34.43 	| -17.65     	| -16.79
-9.80 	| -67.14 	| 33.57 	| 32.75 	| -16.79     	| -15.97
-9.70 	| -63.87 	| 31.94 	| 31.15 	| -15.97     	| -15.19
-9.60 	| -60.75 	| 30.38 	| 29.63 	| -15.19     	| -14.45
-9.50 	| -57.79 	| 28.90 	| 28.19 	| -14.45     	| -13.75
-9.40 	| -54.97 	| 27.49 	| 26.81 	| -13.74     	| -13.07
-9.30 	| -52.29 	| 26.15 	| 25.51 	| -13.07     	| -12.44
-9.20 	| -49.74 	| 24.87 	| 24.26 	| -12.43     	| -11.83
-9.10 	| -47.31 	| 23.66 	| 23.08 	| -11.83     	| -11.25
-9.00 	| -45.00 	| 22.51 	| 21.95 	| -11.25     	| -10.70
-8.90 	| -42.81 	| 21.41 	| 20.88 	| -10.70     	| -10.18
-8.80 	| -40.72 	| 20.37 	| 19.87 	| -10.18     	| -9.69
-8.70 	| -38.73 	| 19.37 	| 18.90 	| -9.68     	| -9.21
-8.60 	| -36.84 	| 18.43 	| 17.98 	| -9.21     	| -8.76
-8.50 	| -35.05 	| 17.53 	| 17.10 	| -8.76     	| -8.34
-8.40 	| -33.34 	| 16.68 	| 16.27 	| -8.33     	| -7.93
-8.30 	| -31.71 	| 15.86 	| 15.47 	| -7.93     	| -7.54
-8.20 	| -30.16 	| 15.09 	| 14.72 	| -7.54     	| -7.17
-8.10 	| -28.69 	| 14.35 	| 14.00 	| -7.17     	| -6.82
-8.00 	| -27.29 	| 13.65 	| 13.32 	| -6.82     	| -6.49
-7.90 	| -25.96 	| 12.99 	| 12.67 	| -6.49     	| -6.17
-7.80 	| -24.69 	| 12.36 	| 12.05 	| -6.17     	| -5.87
-7.70 	| -23.49 	| 11.75 	| 11.46 	| -5.87     	| -5.59
-7.60 	| -22.34 	| 11.18 	| 10.91 	| -5.58     	| -5.31
-7.50 	| -21.25 	| 10.64 	| 10.37 	| -5.31     	| -5.05
-7.40 	| -20.21 	| 10.12 	|  9.87 	| -5.05     	| -4.81
-7.30 	| -19.22 	|  9.63 	|  9.39 	| -4.81     	| -4.57
-7.20 	| -18.29 	|  9.16 	|  8.93 	| -4.57     	| -4.35
-7.10 	| -17.39 	|  8.71 	|  8.50 	| -4.35     	| -4.14
-7.00 	| -16.54 	|  8.29 	|  8.08 	| -4.14     	| -3.93
-6.90 	| -15.73 	|  7.88 	|  7.69 	| -3.93     	| -3.74
-6.80 	| -14.97 	|  7.50 	|  7.32 	| -3.74     	| -3.56
-6.70 	| -14.23 	|  7.13 	|  6.96 	| -3.56     	| -3.39
-6.60 	| -13.54 	|  6.79 	|  6.62 	| -3.38     	| -3.22
-6.50 	| -12.88 	|  6.46 	|  6.30 	| -3.22     	| -3.06
-6.40 	| -12.25 	|  6.14 	|  5.99 	| -3.06     	| -2.91
-6.30 	| -11.65 	|  5.84 	|  5.70 	| -2.91     	| -2.77
-6.20 	| -11.08 	|  5.56 	|  5.42 	| -2.77     	| -2.63
-6.10 	| -10.53 	|  5.29 	|  5.16 	| -2.63     	| -2.50
-6.00 	| -10.02 	|  5.03 	|  4.91 	| -2.50     	| -2.38
-5.90 	| -9.53 	|  4.79 	|  4.67 	| -2.38     	| -2.27
-5.80 	| -9.06 	|  4.56 	|  4.45 	| -2.26     	| -2.15
-5.70 	| -8.61 	|  4.34 	|  4.23 	| -2.15     	| -2.05
-5.60 	| -8.19 	|  4.13 	|  4.03 	| -2.05     	| -1.95
-5.50 	| -7.79 	|  3.93 	|  3.83 	| -1.95     	| -1.85
-5.40 	| -7.41 	|  3.74 	|  3.65 	| -1.85     	| -1.76
-5.30 	| -7.04 	|  3.56 	|  3.47 	| -1.76     	| -1.67
-5.20 	| -6.69 	|  3.38 	|  3.30 	| -1.67     	| -1.59
-5.10 	| -6.36 	|  3.22 	|  3.14 	| -1.59     	| -1.51
-5.00 	| -6.05 	|  3.07 	|  2.99 	| -1.51     	| -1.44
-4.90 	| -5.75 	|  2.92 	|  2.85 	| -1.44     	| -1.37
-4.80 	| -5.47 	|  2.78 	|  2.71 	| -1.37     	| -1.30
-4.70 	| -5.20 	|  2.65 	|  2.58 	| -1.30     	| -1.23
-4.60 	| -4.94 	|  2.52 	|  2.46 	| -1.23     	| -1.17
-4.50 	| -4.69 	|  2.40 	|  2.34 	| -1.17     	| -1.11
-4.40 	| -4.46 	|  2.28 	|  2.23 	| -1.11     	| -1.06
-4.30 	| -4.23 	|  2.18 	|  2.12 	| -1.06     	| -1.01
-4.20 	| -4.02 	|  2.07 	|  2.02 	| -1.01     	| -0.96
-4.10 	| -3.82 	|  1.97 	|  1.93 	| -0.95     	| -0.91
-4.00 	| -3.63 	|  1.88 	|  1.84 	| -0.91     	| -0.86
-3.90 	| -3.44 	|  1.79 	|  1.75 	| -0.86     	| -0.82
-3.80 	| -3.27 	|  1.71 	|  1.67 	| -0.82     	| -0.78
-3.70 	| -3.10 	|  1.63 	|  1.59 	| -0.78     	| -0.74
-3.60 	| -2.94 	|  1.55 	|  1.52 	| -0.74     	| -0.70
-3.50 	| -2.79 	|  1.48 	|  1.45 	| -0.70     	| -0.66
-3.40 	| -2.65 	|  1.41 	|  1.38 	| -0.66     	| -0.63
-3.30 	| -2.51 	|  1.35 	|  1.32 	| -0.63     	| -0.59
-3.20 	| -2.38 	|  1.29 	|  1.26 	| -0.59     	| -0.56
-3.10 	| -2.25 	|  1.23 	|  1.20 	| -0.56     	| -0.53
-3.00 	| -2.13 	|  1.18 	|  1.15 	| -0.53     	| -0.50
-2.90 	| -2.01 	|  1.12 	|  1.10 	| -0.50     	| -0.48
-2.80 	| -1.90 	|  1.08 	|  1.05 	| -0.48     	| -0.45
